carat,cut,color,clarity,depth,table,price
0.91,Fair,F,SI2,65.3,51.0,2996
1.24,Premium,G,VVS1,60.4,59.0,10485
2.3,Ideal,I,SI2,61.8,57.0,16329
0.27,Ideal,E,VS1,61.6,56.0,603
1.0,Premium,J,VVS2,59.6,61.0,3864
0.71,Ideal,G,VS2,62.9,56.0,2443
0.36,Premium,E,SI1,60.8,59.0,810
0.31,Ideal,D,SI2,62.1,57.0,593
0.93,Ideal,H,SI1,62.8,56.0,3988
0.33,Good,D,VS2,61.8,61.0,652
1.77,Premium,G,SI2,62.7,59.0,9664
1.06,Ideal,E,SI2,62.2,55.0,5223
1.21,Ideal,G,SI2,62.1,57.0,5226
0.3,Ideal,E,VVS1,62.3,55.0,826
1.27,Ideal,I,VS2,62.6,57.0,6401
0.92,Very Good,D,SI2,62.4,60.0,4168
0.31,Ideal,I,VS1,61.9,54.0,489
2.01,Good,H,VS2,57.8,60.0,18561
1.51,Ideal,G,VS1,61.9,57.0,14674
1.83,Very Good,G,VS2,60.5,59.0,18358
0.38,Premium,F,VS1,62.4,59.0,933
0.23,Premium,F,VVS2,61.3,59.0,445
0.92,Ideal,I,SI1,62.1,55.0,3610
1.5,Premium,D,SI1,62.4,58.0,12069
0.32,Very Good,G,VS1,62.1,55.0,645
1.0,Ideal,F,SI2,61.2,57.0,4372
0.31,Very Good,F,VVS1,59.4,57.0,779
0.52,Good,F,SI2,58.7,64.0,1350
2.01,Ideal,H,SI2,62.5,53.9,14998
0.31,Ideal,G,VVS2,62.2,55.0,565
0.77,Very Good,J,SI1,61.0,59.0,2086
1.13,Very Good,H,SI2,59.8,59.0,4537
0.32,Ideal,D,SI1,62.6,55.0,589
2.07,Premium,E,SI1,61.2,58.0,16957
0.71,Premium,G,VS2,60.3,59.0,2443
1.11,Ideal,F,VS2,60.4,58.0,7275
1.02,Premium,F,SI2,61.1,59.0,4541
1.56,Ideal,H,VS2,61.5,56.0,11636
0.34,Very Good,I,VS2,61.6,56.0,457
0.96,Premium,G,SI2,62.7,60.0,3215
0.31,Premium,D,VS2,62.3,55.0,942
0.64,Very Good,G,VS1,60.4,62.0,2060
1.01,Premium,F,VVS1,62.5,58.0,7882
0.35,Ideal,H,VVS2,62.5,57.0,706
0.7,Premium,F,SI2,62.5,60.0,2373
0.3,Ideal,H,VS1,62.1,54.0,675
0.71,Ideal,H,VVS1,61.1,56.0,3137
0.31,Ideal,G,IF,61.1,57.0,871
2.25,Ideal,E,I1,61.4,54.0,9072
1.18,Premium,I,SI1,62.8,56.0,5088
1.22,Very Good,G,SI2,63.2,58.0,6409
1.72,Ideal,G,VS2,62.8,57.0,12830
2.01,Ideal,F,SI2,61.7,56.0,18394
1.03,Premium,G,SI1,60.1,60.0,5581
0.7,Ideal,F,VS2,62.0,56.0,2671
1.01,Good,E,SI1,64.3,59.0,5379
1.0,Fair,H,VS1,64.6,59.0,5242
1.1,Ideal,F,VVS2,61.2,56.0,10487
0.59,Ideal,D,IF,60.9,57.0,4208
0.3,Very Good,H,VS2,63.5,59.0,608
0.56,Ideal,E,VS1,61.3,55.0,1930
0.9,Premium,F,SI1,61.7,62.0,3936
0.57,Very Good,E,VS2,60.7,58.0,1732
0.72,Ideal,D,SI2,61.2,57.0,2328
1.0,Fair,H,SI1,65.5,57.0,3511
0.4,Ideal,G,VVS1,62.1,53.0,1043
1.22,Premium,I,SI2,62.3,58.0,4831
1.02,Ideal,G,IF,62.3,57.0,8955
1.08,Ideal,H,VS2,61.8,56.0,5625
0.33,Premium,G,IF,60.8,58.0,1052
0.42,Very Good,E,VVS2,59.8,56.0,1167
1.36,Very Good,F,SI1,62.8,53.0,6597
0.58,Ideal,F,VS1,62.1,56.0,2088
1.02,Good,G,SI1,63.6,58.0,4964
1.19,Good,E,VS2,57.4,60.0,6937
2.01,Good,D,SI2,64.6,55.0,15394
1.15,Very Good,F,SI2,63.1,63.0,4915
0.79,Premium,D,SI2,60.0,60.0,2853
0.32,Premium,D,VS2,62.9,59.0,842
0.31,Ideal,F,VS2,61.6,56.0,749
0.54,Very Good,F,VS1,61.0,58.0,1813
0.5,Very Good,D,VS2,62.8,60.0,1627
1.86,Very Good,H,SI2,62.3,57.0,11416
1.04,Very Good,H,VS2,60.9,58.0,5447
1.41,Ideal,G,VS2,60.8,55.0,10581
0.3,Ideal,E,SI1,61.6,54.0,499
0.33,Ideal,H,VS1,61.6,55.0,610
1.06,Ideal,D,SI1,62.7,54.0,6055
0.31,Ideal,I,SI2,62.0,54.1,372
0.91,Good,G,SI1,64.3,60.0,3344
0.75,Very Good,J,SI1,62.4,56.0,2083
0.3,Very Good,F,IF,62.1,57.0,886
0.41,Ideal,D,VVS1,60.6,57.0,1582
1.01,Premium,H,SI2,59.4,62.0,3083
1.02,Very Good,G,VVS1,63.0,58.0,7657
0.27,Ideal,G,VS1,62.3,53.0,527
0.7,Very Good,F,SI1,62.6,56.0,2196
1.51,Ideal,I,VS2,62.3,57.0,9297
2.22,Ideal,J,SI2,62.8,57.0,13703
0.54,Premium,G,VS2,62.7,58.0,1422
1.23,Premium,D,SI2,58.9,58.0,5283
0.9,Good,E,SI1,63.9,57.0,3795
0.88,Fair,F,SI1,56.6,65.0,2882
0.7,Fair,G,SI2,58.6,56.0,2208
0.31,Premium,H,SI1,62.7,58.0,558
1.25,Ideal,G,SI2,61.1,55.0,6371
1.01,Premium,G,SI2,59.1,59.0,4242
0.3,Very Good,F,SI2,63.5,57.0,506
0.28,Very Good,E,VS1,59.5,59.0,487
0.51,Premium,F,SI2,61.1,59.0,1227
0.52,Ideal,I,VS2,61.9,58.0,1232
0.52,Premium,G,VVS1,59.2,58.0,2153
0.3,Good,D,SI2,63.3,57.0,447
0.51,Very Good,D,SI1,62.2,58.0,1398
0.42,Premium,D,VVS2,62.8,59.0,1241
1.82,Premium,H,VS2,61.6,60.0,14749
0.7,Very Good,E,VS2,58.9,60.0,2845
1.37,Ideal,G,VVS2,62.3,55.5,12207
1.0,Premium,G,SI2,62.7,59.0,4095
1.2,Ideal,G,SI2,61.1,57.0,5722
1.01,Premium,E,VS1,62.0,59.0,7964
0.5,Ideal,H,SI1,61.7,58.0,1035
1.0,Premium,E,VS1,60.4,59.0,7744
0.31,Ideal,F,IF,61.4,56.0,1061
0.4,Very Good,D,VS2,63.3,58.0,845
0.32,Very Good,G,VS2,62.3,55.0,544
1.54,Premium,F,VS2,62.4,59.0,14578
1.05,Premium,E,I1,61.4,58.0,2964
1.05,Premium,G,VS2,61.9,59.0,5821
1.0,Good,G,VS1,63.9,55.0,6028
0.3,Very Good,I,VS1,63.3,59.0,608
0.3,Very Good,E,VS2,62.4,57.0,658
1.0,Good,G,VVS2,60.9,56.0,7492
0.39,Premium,F,VS1,60.6,55.0,1092
0.31,Very Good,G,SI1,63.0,56.0,462
0.31,Premium,G,VS2,61.8,58.0,435
0.6,Ideal,F,SI1,61.5,58.0,1646
0.31,Ideal,G,SI2,60.5,57.0,523
0.3,Very Good,D,VS2,62.6,61.0,710
0.41,Ideal,G,VVS1,62.1,55.0,1230
0.33,Premium,G,VS1,60.3,58.0,621
0.7,Very Good,F,VS1,61.8,59.0,2895
0.28,Very Good,E,VVS1,62.1,57.0,707
0.7,Very Good,I,VS1,63.3,55.0,1995
0.35,Ideal,D,VS1,60.8,57.0,952
1.0,Ideal,G,SI1,61.0,57.0,5622
0.76,Premium,F,IF,60.6,60.0,4150
1.0,Fair,G,SI1,43.0,59.0,3634
1.0,Very Good,G,SI1,62.6,59.0,4844
1.03,Good,D,SI2,57.6,58.0,4177
0.25,Very Good,F,VVS2,62.0,59.0,576
1.1,Ideal,H,VS2,60.5,57.0,5347
1.03,Ideal,G,VVS1,61.7,56.0,7708
1.14,Very Good,J,SI1,63.3,55.0,4173
1.1,Ideal,D,VS1,61.9,56.0,10144
0.73,Premium,F,SI2,60.5,57.0,2351
0.71,Ideal,H,VS1,60.3,59.0,2487
0.7,Good,D,VVS1,61.0,61.0,4407
1.33,Ideal,G,VVS1,62.2,54.0,12255
1.15,Premium,H,SI1,62.0,58.0,5506
0.53,Ideal,F,VVS1,61.6,56.0,2896
1.3,Very Good,F,SI2,61.1,58.0,6149
1.05,Premium,F,VVS2,61.3,59.0,8693
0.57,Premium,G,VS2,59.7,59.0,1608
0.63,Very Good,D,SI1,62.8,57.0,1885
0.91,Very Good,E,SI2,60.3,59.0,3638
1.2,Premium,D,VS2,61.6,60.0,8693
1.01,Premium,E,SI1,63.0,61.0,5077
1.05,Premium,H,SI1,59.3,58.0,5161
0.34,Ideal,F,VS2,62.2,55.0,641
1.19,Premium,I,VS2,61.7,57.0,5439
0.52,Premium,D,SI1,58.7,58.0,1720
0.53,Good,I,SI2,63.6,58.0,942
1.11,Ideal,E,VS2,61.0,57.0,9625
0.32,Ideal,G,IF,61.1,57.0,918
0.36,Ideal,F,VS2,61.5,55.0,807
1.03,Ideal,F,SI2,61.8,56.0,4454
0.33,Premium,I,VS1,59.5,60.0,668
0.7,Very Good,F,VS2,62.4,57.0,2956
0.32,Ideal,E,VS2,62.0,55.0,900
2.01,Very Good,H,SI1,60.1,60.0,17476
0.32,Ideal,G,VS1,61.2,56.0,645
0.9,Good,G,SI2,64.1,56.0,3246
1.08,Ideal,F,VS2,61.0,57.0,7781
0.31,Ideal,H,VVS1,61.8,57.0,907
1.02,Premium,H,VS2,61.8,58.0,5241
0.35,Ideal,E,VS2,61.6,55.0,984
0.32,Ideal,F,SI1,60.9,55.0,586
2.53,Premium,H,SI2,62.6,60.0,14659
0.55,Ideal,E,SI1,61.4,55.0,1668
0.58,Ideal,H,IF,61.6,57.0,2211
0.52,Premium,E,VS2,60.6,58.0,1622
0.7,Good,G,VVS1,58.5,62.0,3380
0.52,Ideal,H,VS2,61.3,55.0,1401
0.3,Ideal,G,VVS1,62.7,54.0,764
0.71,Ideal,F,VS1,61.7,55.0,3041
0.4,Ideal,G,VVS2,62.6,53.0,917
1.02,Ideal,J,SI2,61.6,55.0,2611
0.33,Very Good,F,VVS2,62.5,59.0,810
1.01,Premium,F,SI2,62.9,59.0,4616
0.32,Very Good,F,VVS2,62.0,55.0,717
1.5,Very Good,E,VS2,62.1,60.0,14256
1.02,Good,G,VS2,63.2,57.0,6058
0.33,Ideal,E,IF,61.9,57.0,1129
0.65,Premium,D,SI1,60.5,58.0,2134
0.3,Ideal,F,IF,59.8,58.0,873
1.21,Premium,G,SI2,60.3,58.0,5529
0.7,Ideal,I,VVS2,62.7,54.0,2487
0.51,Premium,G,VS2,61.3,59.0,1443
1.54,Premium,D,VS2,62.7,59.0,16921
0.43,Very Good,F,SI1,61.6,59.0,792
0.33,Premium,I,VVS1,61.9,60.0,780
0.9,Good,I,VVS1,62.4,61.0,3972
0.41,Very Good,E,SI1,63.2,56.0,1015
0.31,Ideal,G,IF,61.9,56.0,871
1.54,Very Good,F,SI1,58.8,60.0,11650
1.04,Ideal,G,VS2,62.5,57.0,6709
0.62,Ideal,E,SI1,61.7,54.0,2054
0.9,Very Good,D,SI1,63.5,57.0,4304
0.36,Ideal,H,VS1,61.5,55.0,651
0.3,Ideal,F,VVS1,62.1,55.0,1114
1.4,Premium,I,VS1,61.6,59.0,7722
1.7,Very Good,H,SI2,60.8,56.0,10255
0.33,Ideal,G,VS1,61.8,56.0,666
1.06,Ideal,F,VS1,61.9,57.0,7345
0.4,Very Good,G,SI1,59.2,61.0,702
1.1,Ideal,J,SI2,60.1,57.0,4624
0.9,Fair,H,VS2,65.5,57.0,3226
0.32,Premium,G,VVS2,61.2,59.0,730
0.33,Ideal,E,VS1,62.7,57.0,1002
0.73,Very Good,E,SI1,63.3,60.0,2523
1.51,Premium,G,SI1,62.4,62.0,10688
2.07,Ideal,I,SI2,62.0,55.0,16337
1.0,Premium,E,SI2,61.0,59.0,3752
1.04,Very Good,H,SI1,63.1,58.0,4316
1.21,Premium,F,VS2,60.1,55.0,8870
0.72,Ideal,H,VVS1,62.5,57.0,2946
0.83,Very Good,E,SI1,62.1,58.0,3002
1.17,Ideal,J,SI1,62.3,55.0,4883
0.28,Ideal,F,VS1,62.0,57.0,598
0.53,Ideal,E,VS2,62.4,56.0,1813
1.0,Very Good,I,SI2,60.8,63.0,3276
0.46,Premium,E,VS1,62.0,58.0,1294
0.34,Ideal,D,SI1,60.6,56.0,803
0.3,Very Good,E,VS2,62.9,58.0,658
1.01,Very Good,E,VS2,60.4,58.0,6666
1.26,Ideal,G,SI1,59.6,57.0,6738
0.36,Ideal,F,VS1,61.6,56.0,819
2.01,Good,J,SI1,63.6,59.0,12257
0.4,Very Good,E,SI1,63.5,57.0,882
0.42,Ideal,J,VS1,60.9,57.0,663
0.91,Premium,G,SI2,61.3,60.0,3423
0.51,Ideal,G,IF,62.4,54.0,2096
0.32,Very Good,D,VS2,62.5,57.0,758
1.77,Premium,E,VS2,61.6,58.0,15278
0.3,Premium,F,VVS2,61.6,58.0,737
1.51,Very Good,D,SI2,63.2,59.0,7915
1.01,Ideal,E,SI1,61.6,57.0,5206
1.58,Premium,G,VS1,60.8,58.0,11380
0.91,Premium,G,SI2,59.8,58.0,2813
0.7,Very Good,D,SI1,62.5,55.0,2862
0.31,Ideal,D,SI1,62.3,54.0,571
0.71,Premium,E,VS2,61.5,60.0,2858
1.5,Good,J,VS2,63.6,58.0,7308
0.31,Ideal,D,SI1,61.3,56.0,565
0.31,Ideal,H,VVS1,61.6,57.0,846
1.06,Premium,E,SI1,60.8,58.0,5485
0.32,Ideal,F,VS1,61.0,54.0,716
1.01,Very Good,E,SI1,63.3,58.0,5077
0.57,Ideal,D,VVS1,61.6,56.0,3126
0.9,Very Good,F,VS2,63.4,58.0,4400
0.46,Ideal,D,VS2,62.4,56.0,1298
0.9,Very Good,H,VS1,62.3,59.0,4592
1.36,Very Good,D,VVS2,62.6,58.0,14236
0.54,Good,E,SI2,63.8,54.0,1163
1.16,Ideal,H,SI1,62.2,54.0,6036
2.13,Very Good,J,SI1,62.8,58.0,13996
0.43,Ideal,F,VS2,61.5,56.0,904
0.7,Good,F,SI1,64.3,63.0,2059
1.01,Fair,E,SI2,64.6,59.0,3294
0.6,Premium,H,SI1,58.9,61.0,1341
0.9,Good,F,VS1,63.3,59.0,4508
0.71,Ideal,I,SI1,61.4,56.0,2376
0.32,Ideal,E,IF,62.6,55.0,1095
0.38,Very Good,H,VVS1,59.1,58.0,967
0.24,Very Good,D,VVS2,61.3,58.0,485
1.01,Ideal,E,SI1,62.1,54.0,5599
0.9,Good,G,SI1,63.7,60.0,3669
0.41,Ideal,I,VS1,61.9,55.0,878
0.7,Premium,I,SI1,61.8,62.0,1914
0.5,Premium,E,SI2,60.1,60.0,1262
1.01,Ideal,F,SI1,62.3,58.0,5646
0.42,Very Good,G,SI1,63.2,57.0,945
1.7,Ideal,J,VS2,62.5,57.0,9414
0.52,Good,G,SI1,63.3,57.0,1244
0.4,Good,E,VVS2,58.5,60.0,1059
1.21,Ideal,H,SI2,62.6,56.0,5624
0.9,Very Good,H,SI2,62.3,61.0,3481
0.65,Premium,D,VVS2,59.9,58.0,3003
1.01,Good,J,SI1,58.8,57.0,3853
0.92,Ideal,J,VS1,62.4,56.0,3332
0.33,Ideal,G,IF,61.7,55.0,1052
0.51,Ideal,F,SI1,61.1,55.0,1593
1.04,Premium,G,IF,61.3,58.0,9039
1.07,Very Good,G,SI2,64.6,60.0,4340
1.22,Ideal,G,VS2,62.0,55.0,8067
0.71,Very Good,I,VVS1,63.5,57.0,2456
0.78,Ideal,D,SI2,61.4,57.0,3454
0.9,Ideal,H,VS2,61.9,55.0,4133
0.31,Ideal,D,VS2,61.5,56.0,734
0.92,Good,E,SI2,62.0,64.0,3153
0.43,Ideal,I,VS1,61.8,55.0,1218
0.3,Ideal,G,VS2,61.2,55.0,545
0.7,Ideal,E,VS2,62.5,55.0,2693
0.32,Premium,E,VVS2,61.5,58.0,842
0.46,Ideal,G,IF,62.1,56.0,1733
0.3,Ideal,G,VVS2,61.8,57.0,665
0.38,Ideal,H,VVS2,62.2,54.6,832
2.04,Premium,H,SI1,62.5,61.0,18115
0.47,Premium,H,VS1,60.3,61.0,1244
0.53,Ideal,D,VS2,61.7,55.0,1857
0.6,Very Good,D,VVS2,60.6,57.0,2897
0.71,Ideal,E,VS2,61.0,55.0,2863
0.45,Ideal,G,SI2,61.9,54.0,709
1.04,Premium,I,SI1,61.8,60.0,4368
1.02,Premium,G,SI2,62.5,59.0,4370
0.75,Good,E,SI2,63.8,55.0,2453
0.41,Premium,E,VS1,60.6,59.0,1153
0.4,Ideal,E,VVS1,62.4,57.0,1333
0.7,Fair,E,SI2,70.6,56.0,1828
1.08,Very Good,G,VS2,60.6,58.0,6777
1.23,Ideal,G,VVS2,62.7,56.0,10317
0.55,Ideal,E,SI2,62.0,56.0,1273
0.31,Very Good,F,VS2,62.9,56.0,625
1.02,Very Good,G,VS1,62.6,58.0,6301
0.64,Good,J,SI2,64.7,54.0,1141
0.3,Premium,D,SI1,59.7,59.0,552
0.41,Premium,D,SI2,62.3,58.0,876
0.76,Ideal,F,SI2,60.3,60.0,2624
0.44,Premium,G,VVS1,60.9,59.0,1235
0.64,Very Good,D,SI1,62.2,55.0,1967
0.3,Ideal,E,VVS2,62.2,54.4,779
0.38,Ideal,E,VS1,61.4,56.0,920
0.38,Ideal,H,IF,60.0,60.0,1064
0.4,Ideal,E,VVS1,62.8,57.0,1397
0.32,Ideal,G,VVS2,61.6,55.0,936
1.51,Ideal,D,SI1,59.5,57.0,12738
2.04,Ideal,H,SI2,62.0,56.0,16319
1.2,Ideal,J,VS1,61.8,55.0,5040
0.39,Very Good,G,IF,63.5,56.0,1271
1.09,Ideal,J,SI1,61.4,55.0,4565
1.01,Ideal,I,SI1,60.6,57.0,3999
1.2,Ideal,G,VS2,62.8,54.0,8414
1.01,Good,F,VS1,59.0,62.0,6794
0.54,Ideal,H,SI1,62.2,56.0,1240
1.51,Premium,H,SI1,60.6,59.0,10519
0.31,Ideal,F,IF,62.0,55.0,914
0.51,Ideal,E,VS1,62.0,57.0,1841
0.3,Very Good,E,VVS2,59.7,57.0,622
2.05,Premium,H,SI2,62.5,58.0,16431
1.03,Very Good,G,SI1,59.4,60.0,5353
0.72,Ideal,F,SI2,62.0,55.0,2224
1.01,Premium,F,VS2,59.9,61.0,6097
0.41,Ideal,E,VS2,61.8,57.0,999
1.31,Premium,J,SI1,59.4,60.0,5446
1.0,Premium,D,SI2,60.8,60.0,4295
0.32,Very Good,I,VVS1,60.1,61.0,589
0.31,Ideal,G,VVS1,61.8,54.0,789
1.14,Ideal,E,VVS2,62.3,55.0,10512
0.39,Very Good,H,VVS1,61.5,56.0,926
0.7,Very Good,D,VS2,61.2,60.0,3131
0.31,Premium,D,IF,60.2,59.0,1167
1.0,Good,G,VS2,62.7,58.0,5068
1.17,Ideal,D,SI2,62.7,57.0,5842
0.31,Ideal,J,VS2,62.2,55.0,396
0.5,Very Good,H,SI1,63.1,55.0,984
0.52,Premium,E,VS2,60.7,58.0,1815
0.3,Premium,G,VVS2,62.6,58.0,684
0.3,Good,G,VS1,63.6,57.0,605
1.01,Very Good,G,SI1,63.2,59.0,5113
0.33,Ideal,I,IF,62.1,55.0,694
0.7,Very Good,I,SI1,62.2,58.0,2136
0.33,Premium,I,VS2,61.0,61.0,594
1.2,Premium,E,SI1,60.3,57.0,7362
0.52,Good,F,SI1,63.6,62.0,1357
0.29,Very Good,F,VVS2,63.1,57.0,664
0.84,Very Good,D,SI1,59.9,54.0,4205
0.38,Very Good,F,SI1,61.5,54.0,660
1.06,Very Good,F,SI1,59.6,60.0,5491
0.36,Ideal,I,VS1,62.1,56.0,568
1.12,Premium,H,SI2,62.0,57.0,4641
1.01,Good,E,VS1,63.6,57.0,7665
1.5,Ideal,G,SI2,61.4,56.0,8580
0.81,Good,E,I1,64.1,59.0,2608
0.7,Premium,E,SI1,61.3,58.0,2777
0.44,Ideal,H,SI1,61.9,57.0,733
1.2,Premium,G,VS1,62.8,58.0,8602
0.41,Ideal,H,VS2,61.5,55.0,743
0.32,Good,D,SI1,63.8,55.0,706
0.7,Very Good,I,SI1,62.7,56.0,1918
1.26,Ideal,J,VS1,62.2,58.0,6332
0.83,Premium,F,VS2,60.2,60.0,3557
0.4,Ideal,E,VVS1,62.6,56.0,1333
1.23,Ideal,H,VS2,62.2,55.0,7130
1.5,Very Good,G,SI2,63.1,57.0,9384
1.01,Very Good,E,SI1,61.9,56.0,5759
2.75,Ideal,D,I1,60.9,57.0,13156
0.42,Premium,G,VS2,60.6,58.0,847
0.51,Ideal,G,VVS1,61.4,56.0,1963
1.55,Ideal,J,SI1,61.7,54.0,7987
0.4,Very Good,H,SI1,62.6,58.0,666
0.73,Ideal,D,SI1,61.8,56.0,3189
0.31,Very Good,H,VS2,63.1,57.0,628
0.36,Premium,G,IF,62.5,60.0,1148
1.51,Very Good,D,VS2,62.3,59.0,14112
0.22,Premium,F,SI1,60.4,61.0,342
1.03,Ideal,I,VS1,60.9,56.0,5206
0.78,Premium,F,SI2,62.8,56.0,2200
0.8,Very Good,H,VS2,63.4,60.0,2797
2.22,Fair,H,I1,70.1,55.0,6564
0.7,Ideal,F,VS1,61.0,58.0,3162
0.54,Ideal,F,VVS2,62.0,55.0,2454
0.5,Very Good,E,SI1,63.3,59.0,1415
0.93,Good,G,SI1,58.8,61.0,4405
0.52,Ideal,E,VS2,61.3,55.0,1712
0.56,Ideal,G,SI1,62.3,53.0,1591
0.72,Ideal,H,VVS1,60.8,58.0,3180
0.73,Ideal,D,VS2,61.6,56.0,3464
1.15,Premium,G,SI1,62.6,58.0,5851
0.3,Premium,G,SI1,60.1,62.0,574
0.66,Good,G,VS1,59.0,62.0,2055
0.35,Very Good,H,VVS1,62.6,57.0,798
1.2,Very Good,H,I1,58.6,57.0,3696
0.35,Ideal,F,VS1,62.8,54.0,754
0.41,Ideal,E,VS1,61.7,57.0,1153
0.97,Good,I,VS2,64.5,61.0,4355
0.91,Ideal,F,SI2,62.0,56.0,4642
0.57,Ideal,G,VS1,61.3,56.0,1851
0.3,Ideal,G,VVS1,61.7,57.0,764
0.32,Ideal,G,VS2,61.8,57.0,561
0.9,Very Good,F,SI1,61.4,58.0,4379
0.41,Good,D,SI1,63.8,56.0,947
1.27,Premium,I,VS1,62.2,59.0,6532
0.92,Very Good,F,SI2,62.9,58.0,3763
0.71,Ideal,E,VS2,61.8,57.0,3301
1.09,Premium,H,VS2,62.3,57.0,5993
0.55,Very Good,E,VS2,61.6,60.0,1719
0.31,Ideal,G,VS1,62.1,55.0,625
1.02,Ideal,F,SI2,61.8,57.0,4832
0.41,Ideal,F,VS1,61.9,55.0,1007
0.9,Ideal,F,I1,61.8,57.0,2611
1.24,Ideal,F,VVS2,62.0,57.0,12059
0.9,Premium,E,SI2,60.8,60.0,3662
1.15,Good,F,SI2,63.8,57.0,4437
1.74,Ideal,H,VS2,61.5,55.0,13761
